word_us,word_length,n_phon,nonword,n_phon_nw,
bias,4,4,boan,4,
bible,5,5,beple,5,
biblical,8,8,biblocan,8,
bibliography,12,11,bibliorrathy,10,
biceps,6,6,becels,6,
bicker,6,5,bocker,5,
bicycle,7,7,bicaclo,7,
bid,3,3,brud,4,
big,3,3,byth,3,
bigot,5,5,bugod,5,
bike,4,3,boke,3,
bikini,6,6,bikonu,6,
bilingual,9,9,bilonguan,9,
bill,4,3,bint,4,
billiards,9,8,biddiards,8,
billion,7,6,bission,5,
billy,5,4,binny,4,
bin,3,3,bounth,4,
binary,6,6,binury,6,
bind,4,4,bimp,4,
binge,5,4,bidge,3,
binocular,9,10,binosudar,9,
binomial,8,8,bimonial,8,
biochemistry,12,11,biochimusthy,10,
biographical,12,11,bioprophinal,11,
biography,9,8,biotnatry,9,
biological,10,10,biolagipal,10,
biologist,9,9,bialogast,9,
biology,7,7,bianody,7,
birch,5,4,birls,5,
bird,4,4,zird,4,
birdie,6,5,bardin,6,
biscuit,7,6,buscuid,7,
bisect,6,6,besack,5,
bisexual,8,9,bisenoal,8,
bishop,6,5,byship,5,
bison,5,5,besin,5,
bit,3,3,zim,3,
bitch,5,3,baitch,3,
bite,4,3,zite,3,
biting,6,5,biring,5,
bitten,6,4,biggen,4,
bitter,6,5,bizzer,5,
bitters,7,7,bizzers,6,
bittersweet,11,9,bittorsweep,9,
blab,4,4,blay,3,
black,5,4,bluck,4,
blackball,9,7,blickbale,7,
blackbird,9,8,blickbard,8,
blacken,7,6,blucker,6,
blackhead,9,7,blickheed,7,
blacklist,9,8,blicklust,8,
bladder,7,6,blammer,6,
blade,5,4,blape,4,
blame,5,4,bloim,4,
bland,5,5,bloind,5,
blank,5,5,blash,4,
blanket,7,7,blinkat,7,
blast,5,5,blags,5,
blatant,7,6,blutine,6,
blaze,5,4,blark,5,
blazer,6,6,blaxer,7,
bleach,6,4,blouch,4,
bleachers,9,7,blouchern,7,
bleak,5,4,blaik,4,
bled,4,4,blod,4,
bleed,5,4,binst,5,
blemish,7,6,blumise,6,
blend,5,5,bliem,5,
blender,7,7,blether,6,
bless,5,4,bloise,4,
blessed,7,5,blemmed,5,
blew,4,3,blaw,3,
blimp,5,5,bloomp,5,
blind,5,5,zind,4,
blindfold,9,9,blandfail,8,
blink,5,5,blunk,5,
blinker,7,7,blonker,7,
bliss,5,4,bloss,4,
blister,7,7,blusten,7,
blitz,5,5,blish,4,
blizzard,8,7,blimmard,7,
